"WhatsApp","control","curso_verificacion","curso","verificacion","curso_pooled","verificacion_pooled","blockid1","edad","gender","education","journalist","knowledge_verify","know_to_verify","know_fact_checkers_sum","freq_use_whats","freq_use_social","fuentes_principales_sum","cuentas_social_infor_sum_1","cuentas_social_infor_sum_2","cuentas_social_infor_sum_3","freq_desc_comp","freq_analyze","freq_veri_compar","knowledge_verify_end","recent_cases_sum_end","know_to_verify_end","know_fact_checkers_sum_end","fuentes_principales_sum_end","cuentas_social_infor_Nontrad_end","cuentas_social_infor_trad_end","freq_desc_comp_end","cree_falsa_do_1_end","cree_falsa_do_3_end","cree_falsa_do_4_end","freq_analyze_end","freq_veri_compar_end","cree_falsa_do_index_end","cuentas_social_infor_Nontrad","cuentas_social_infor_trad","freq_tipos_1","freq_tipos_2","freq_tipos_3","freq_tipos_4","freq_tipos_5","freq_tipos_6","confia_1","confia_2","confia_3","confia_4","confia_5","confia_6","knowledge_plat_1","knowledge_plat_2","knowledge_plat_3","knowledge_plat_4","knowledge_plat_5","knowledge_plat_6","problemas_1","problemas_2","problemas_3","problemas_4","problemas_5","problemas_6","characts_false_1","characts_false_2","characts_false_3","characts_false_4","characts_false_5","characts_false_6","characts_false_7","characts_false_8","characts_false_9","characts_false_10","forms_verify_1","forms_verify_2","forms_verify_3","forms_verify_4","forms_verify_5","forms_verify_6","case1_hyp_2","case2_hyp_2","case3_hyp_2","case1_hyp_1","case2_hyp_1","case3_hyp_1","freq_tipos_1_end","freq_tipos_2_end","freq_tipos_3_end","freq_tipos_4_end","freq_tipos_5_end","freq_tipos_6_end","confia_1_end","confia_2_end","confia_3_end","confia_4_end","confia_5_end","confia_6_end","freq_plat_false_1_end","freq_plat_false_2_end","freq_plat_false_3_end","freq_plat_false_4_end","freq_plat_false_5_end","freq_plat_false_6_end","knowledge_plat_1_end","knowledge_plat_2_end","knowledge_plat_3_end","knowledge_plat_4_end","knowledge_plat_5_end","knowledge_plat_6_end","problemas_1_end","problemas_2_end","problemas_3_end","problemas_4_end","problemas_5_end","problemas_6_end","characts_false_1_end","characts_false_2_end","characts_false_3_end","characts_false_4_end","characts_false_5_end","characts_false_6_end","characts_false_7_end","characts_false_8_end","characts_false_9_end","characts_false_10_end","forms_verify_1_end","forms_verify_2_end","forms_verify_3_end","forms_verify_4_end","forms_verify_5_end","forms_verify_6_end","case1_hyp_2_end","case2_hyp_2_end","case3_hyp_2_end","case1_hyp_1_end","case2_hyp_1_end","case3_hyp_1_end","case1_hyp_3_end","case2_hyp_3_end","case3_hyp_3_end","complete_both","temas_2","temas_2_end","freq_plat_false_9_end","confia_9_end","avoid_mis_1_end","avoid_mis_2_end","knowledge_plat_11_end","avoid_mis_4_end","freq_tipos_9_end","avoid_mis_3_end","freq_plat_false_1","freq_plat_false_2","freq_plat_false_3","freq_plat_false_4","freq_plat_false_5","freq_plat_false_6","freq_tipos_7_end","freq_tipos_8_end","confia_7_end","confia_8_end","freq_plat_false_7_end","freq_plat_false_8_end","knowledge_plat_9_end","knowledge_plat_10_end","edad25","edad35","edad45","edad55","edu7","edu8","edu9","edu10","consumption_baseline","trust_baseline","false_baseline","characts_index","knowledge_identify_baseline","index_mec_importance_baseline","forms_index","index_know_verify_baseline","hyp_sharing_index","index_sharing_baseline","ver_beh_baseline","index_false_trust_baseline","trust_end","false_end","index_false_trust","index_mec_importance_end","characts_index_end","forms_index_end","index_mec_attention","index_know_identify","index_know_verify","index_consumption","index_sharing","index_verifying","false_traditional_end","false_social_end","trust_traditional_baseline","trust_social_baseline","trust_traditional_end","trust_social_end","consumption_traditional_baseline","consumption_social_baseline","consumption_traditional_end","consumption_social_end"
0,1,0,0,0,0,0,"26_a",28,1,9,0,2,2,1,6,6,0,1,0,4,3,3,3,3,2,3,1,1,0,1,3,0,1,0,3,3,0.829689782144332,2,1,4,3,6,6,6,5,1,2,2,2,2,3,1,1,1,1,1,1,5,5,5,5,5,5,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,4,4,4,4,4,5,3,5,5,3,5,4,1,2,4,2,2,3,4,4,3,4,4,3,1,1,1,1,1,1,5,5,5,5,5,5,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,4,4,4,4,1,5,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,-0.693972343958513,-1.30629501191766,0.26713874280314,-0.2,-1.98299847805333,0.637612766667587,0.666666666666667,-0.484083841602449,2.57285663124126,-1.93407703718563,-1.09680774432478,-1.03650471048045,-0.111447120482642,-0.701350222623474,0.554402353863841,0.609943275416286,0.4,0.666666666666667,-1.11133996491052,-0.959076844212374,-0.265981377496095,0.370090844902554,-2.5510528313178,-0.868240892191538,-1.48906918335219,0.348638942268666,-1.70536955489609,0.159910481471447,-0.642058862948339,-0.0291651364626075,0.223455652510081,-1.06117265499424,0.323912753750624,0.127477680027649
0,1,0,0,0,0,0,"36_a",25,0,9,0,5,5,2,6,6,3,1,0,4,5,4,4,5,2,4,2,0,0,2,5,0,0,1,4,5,0.922818607372304,1,4,5,2,3,2,6,3,3,2,1,1,1,1,0,0,1,1,1,1,5,5,5,5,5,5,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,4,3,3,1,1,5,2,5,3,6,4,4,3,4,5,5,5,3,2,4,4,4,4,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,5,4,4,2,1,2,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,-0.224224845586797,0.2605744313197,-1.70637695124753,0.6,1.22555725158577,0.637612766667587,0.666666666666667,1.64873474939672,0.085410210340536,1.12084085213893,0.0119074423388698,-0.471116940430455,-2.19860764778417,0.418238744860882,-2.09267856396748,-3.16883233706215,0.4,0.666666666666667,0.122593857040489,0.7866041640634,0.652626743639464,-0.181042834820031,0.169387351234885,1.28146784088163,-0.69984864380599,1.22039610019565,-1.53055712034296,1.78820852020606,0.638232945114519,-3.41403253280793,-0.765843052485632,0.583729875432435,-0.0465057103940809,-0.306573358712511
0,0,0,0,1,0,1,"1_a",22,1,8,0,2,2,0,6,4,0,0,0,5,3,3,3,3,0,2,0,3,0,5,1,0,1,0,3,3,0.829689782144332,0,5,5,4,6,4,6,5,4,5,1,2,2,2,0,0,1,0,1,0,1,2,2,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,2,2,2,5,5,5,5,5,6,5,6,5,4,3,2,3,3,4,4,3,3,3,3,1,1,0,0,0,0,5,5,5,5,5,5,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,4,2,1,3,2,2,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0.327084011591082,0.0650292853743916,-0.236578191392692,0.2,-1.4047810241548,-3.06856794868775,0.333333333333333,-1.41704768734005,1.4483944801238,-0.992238461738927,-1.09680774432478,-0.140964161358521,0.18721249553764,-2.03411503492483,2.03819410872093,0.609943275416286,0.2,0,-1.11133996491052,-1.79854356766742,-2.26103063723059,-0.339578201818996,-1.74505605295,-0.868240892191538,-1.48906918335219,-1.24367742153623,-0.210648391151112,0.597766924748359,0.795931098380263,-0.48432618909407,0.828306499247891,-0.591568193119847,0.897288883204629,-1.27332429105683
0,0,1,0,0,1,1,"22_a",38,1,8,1,3,3,0,6,5,0,0,0,5,2,3,3,4,1,4,3,5,0,5,3,0,1,0,4,4,0.829689782144332,0,1,5,6,6,5,5,2,5,3,3,2,2,3,0,0,1,1,1,1,5,5,5,5,3,5,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,3,2,3,1,2,3,4,4,4,5,5,4,5,3,3,3,4,4,2,2,3,3,4,3,0,0,1,1,1,0,5,5,5,5,5,5,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,5,4,4,2,2,1,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,2.11404542395921,0.767573305488366,-0.72257282156024,0.6,0.415589040182641,0.292310871085933,0,-1.35954478515339,-0.0764442681059299,-0.341761054851771,-1.09680774432478,0.451935080313392,-1.22168288952424,0.764581479182091,-1.09665493551326,0.609943275416286,0.6,0,0.122593857040489,-0.252709311291825,-0.0263099930674686,-0.348406889261588,-0.162270634987313,0.206613474345045,0.517269175989966,0.521544575356764,0.485633818794617,0.159910481471447,0.416299986033324,-1.75721165059503,1.4354953911697,0.691895498941656,-0.0329709429012691,-0.38461382065464
0,0,1,0,0,1,1,"28_a",41,0,10,0,3,3,0,6,5,3,0,0,5,5,5,5,3,2,3,2,3,3,1,4,0,0,1,5,5,0.922818607372304,0,1,6,4,5,1,5,6,1,1,1,2,3,3,0,1,1,0,0,0,5,4,5,5,5,5,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,5,5,5,5,2,2,6,6,6,1,6,6,4,3,4,1,4,4,2,2,2,5,4,3,0,0,1,0,0,0,3,3,5,5,5,5,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,2,1,2,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,1.08612980143947,-2.59282278897616,1.25685030716652,0.4,-2.25468513316903,0.400881860946093,0.666666666666667,-0.332198746451803,1.6911761977935,-0.188887078298878,1.12062262900252,-1.78323661399324,-0.394042660742031,0.437731494140595,-2.40739232208367,-0.233893410373535,-0.2,0.666666666666667,1.35652767899149,-1.93901275064509,0.131523024395906,1.19666401769252,-0.204381903653811,1.28146784088163,1.3204821284788,-1.39460730094983,-2.53695205904806,-0.275401874373367,0.638232945114519,-0.989340809171156,0.800576013420892,0.219717209334643,1.82754870931053,-0.427146578091267
0,0,0,1,0,1,0,"14_a",23,1,9,0,3,3,0,6,6,4,1,1,2,2,4,3,4,0,4,1,3,0,3,2,1,0,0,4,5,-1.43940817773726,3,1,5,6,6,3,6,3,4,5,4,1,2,3,0,1,0,0,1,0,5,5,5,5,5,5,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,3,2,1,4,1,1,3,4,2,3,6,3,3,4,3,1,4,2,3,2,3,4,3,4,0,0,1,1,1,1,3,5,5,5,5,5,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,5,4,5,2,2,1,5,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1.76337264235345,1.61606451816828,-1.71819182059971,0.2,-0.562978749599797,0.637612766667587,0.333333333333333,-0.845871765802598,0.647641285899268,-1.01874020803962,-1.09680774432478,0.713199527039472,-0.169932863099464,0.656925979957473,-0.0527991370705024,0.178725577676047,0.6,1,0.122593857040489,0.290058220241093,0.79334291104693,-1.17365333263054,0.846349487973532,1.28146784088163,0.103364308682847,0.972606979792297,1.30404560949762,0.477183277807418,0.19549063456965,-0.121762832856036,1.4354953911697,0.348927644495241,-0.97760613465359,0.0097590013180125
0,0,0,1,0,1,0,"11_a",27,0,9,0,3,3,0,6,6,2,1,1,2,2,5,5,3,0,3,0,4,2,3,1,1,0,0,3,3,-1.43940817773726,4,0,5,4,3,4,6,4,4,4,3,3,4,3,0,0,1,0,1,0,4,5,4,5,4,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,3,2,1,1,1,4,4,6,3,5,4,4,4,4,3,3,3,3,2,3,4,4,3,0,0,1,0,0,0,2,5,4,3,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3,3,3,1,2,2,4,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,-0.487361700289237,-0.606368679311052,-1.22038232107998,0.2,-0.999796918453238,0.00569703427234852,1,0.181474272898992,-1.03905194077693,0.394017655130433,1.12062262900252,-1.0381164971082,0.345614753963438,-0.0290662527598581,-0.0449315361866683,-0.500943310915954,0.4,0.666666666666667,-1.11133996491052,-1.71145880139102,-0.663485779388096,0.86116135656765,0.589538761310238,-0.868240892191538,0.103364308682847,-0.290078848511648,0.472463105345656,-1.02798702655415,1.01786405746146,-0.868261609806007,-0.158654160563819,-0.2387213897809,0.624976184124049,0.127477680027649
0,0,0,1,0,1,0,"6_a",25,1,8,1,3,3,0,6,6,5,0,0,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,4,5,4,2,6,5,2,5,1,1,4,2,0,0,1,1,1,1,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0.0162094606379681,-1.4113060363598,0.26713874280314,0.2,0.0170702439913087,0.637612766667587,1,0.181474272898992,-0.557748104441429,1.13856948177613,0.0119074423388698,-1.33761648689242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89035882592048,0.0444150093947023,NA,NA,0.172670771224088,-0.121963731245459,NA,NA
0,1,0,0,0,0,0,"19_a",23,0,8,1,3,3,0,5,4,5,0,0,5,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,5,4,3,4,2,4,4,4,2,2,1,0,0,1,1,1,1,5,5,5,5,5,5,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,5,4,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,1.46880034128468,1.97383139058907,0.759040807646782,0.8,0.614848438278307,0.637612766667587,0.333333333333333,-0.845871765802598,-0.557748104441429,0.0261283001393308,0.0119074423388698,2.12664794268363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977361105561901,1.03562336802527,NA,NA,-0.128585629552816,1.6212254737979,NA,NA
0,0,0,0,1,0,1,"26_a",30,1,9,0,4,3,0,6,5,3,0,1,4,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,6,6,5,5,5,6,5,5,3,1,3,4,1,1,1,0,1,1,5,5,5,5,5,5,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,4,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0.686696536822901,0.469634822608289,-0.230670756716597,0.6,-0.78993638355747,0.637612766667587,0.666666666666667,-0.332198746451803,-0.476820865218196,-0.633122223411318,0.0119074423388698,0.259822843139585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13900282666606,-0.395985521314308,NA,NA,1.4077649053427,-0.719491714414133,NA,NA
